,Chat_msg
21092,gm
21093,gm
21094,ngl
21095,talisman master is an absurd cool name
21096,gn
21097, hey sir whats up
21098,we already got your wallet through the form you filled up dyno form
21099,welcome everyone
21100,gn
21102,i just got my role never submitted my wallet
21103,all good sir hbu
21104,what s upp
21105,should be already collected
21106, hey sir
21107,where can i post my wallet for talisman drop
21108,people mainly chat in holders channel
21109,gm
21110,gm
21111,r
21112,they are all sleeping
21113,is it always like this
21114,why is the place silent
21115,good
21116,all good bro hbu
21117,alas
21118,what s up
21119,heyy
21120,gm
21121,gm
21122,yo
21124,yo
21125,hii
21126,good
21128,hey
21129,yooo
21130,hi
21131,yo
21133,hi
21134,hola como estas
21135,hola
21137,gn
21138,yoo
21139,yo
21140,hello everyone welcome
21141,hi guys
21142,hi
21143,hi everyone
21144,hi
21145,hey
21146,hii
21147,hi
21148,sup
21149,all good
21150,suuup
21151,gm
21152,gm
21153,i dont have access to colabs tickets
21154,can you check my ticket
21155,hii
21156,hi
21158,hi
21159,hi
21160,thats very nice
21161,hii
21162,wich are also rewarded in woop
21163,role x is for the most active raiders
21164,yes
21165,any mod available
21166,hello
21167,role x
21169,whats role x
21171,ye
21172,morning fam
21173,how are you
21174,hey welcomee
21175,hi from halo lab
21176,yoo
21177,yo
21178,      
21179,i like it
21180,only the ones who believes in magic will find it
21182,only the ones who believes in magic will find it  this is said with a reason  
21183,take your time haha
21184,gm
21185,if thats true
21186,hey fam
21187,let me scroll back them haha
21188,fam
21189,youre welcome good luck fam
21190,no its another one the one before haha he was asking about wl master guru how turn you bohemia to a master guru fabulosa
21191,thanks  
21192,gm wolty   have a nice dayy
21193,gm
21194,yeahh
21195,yeah
21196, people told you yes already
21197,  like talisman mean wl here right
21198,ah you are whitelisted man
21199,yes you do congrats
21200,i answer him already if you talk about the one in 
21201,wdym
21202,yes you have a talisman wl
21203,  have i been wl
21204,hi lorenzo
21205,pls have i been wl
21206,how s life
21207,hi
21208,hi
21209,check question i was talking to somebody tring to explain some stuff if i missed something  you may add
21210,hahahahaha heyy bro u better do
21211,hi to all
21212,i follow our artist on instagram hes doing some crazy stuff
21213,heyy
21214,hi fam do i need to link my metamask to get verified 
21215,gm mister
21216,the website too looks cleanhand drawn like the originals beautiful methinks
21217,hello
21218,heey lad
21219,we glad you like it yes having a guru staked its the only guaranteed way to get wl
21220,yep art is dope
21221,art is awesome
21222,good luck fam
21223,its gonna be magical
21224,good luck  hope you can make it in fabulosa
21225,did teh form put in my wallet and read everything in the wp
21226,yeah i did halo labs
21227,hey
21228,did you apply for wl from a specific dao
21229,ge
21230,haha nice  job you got  
21231,very grooovvyy
21232,oohh youre super coloured ie big boss mod
21233,yup being irl urologist it comes naturally
21235,test for  wl  
21236,gm
21237,yo
21239,testicle
21240,i got my role already
21241,heyy
21242,yes there is always a way
21243,ok
21244,matrica is a pain sometimes
21245,say it this way haha   try to log out and log back in maybe 
21246,i have one boho staked
21247,hello
21248,how do you want holder role if you dont hold a bohemian 
21249,holder role
21250,then what role you talking about
21251,no
21252,hey did you just bought a boho 
21253, you will also recive on talisman  wl  for each guru master you own
21254,even after i verify on matrica i wasnt assinged a role
21255,hey no need to open ticket roles will be assigned soon
21256,hello
21257,yes of course if you get a good job that pays you well if you can live well well thats my point of view
21258,heyy welcome
21259,a ok then in that case if you have to open a ticket
21260,yes and i wish you all the luck can you live well
21261,hi bro
21262,hi from halo labs
21263,i know they are not the best but i do not worry as long as i am working and trying hard not to live badly
21264,but congrats anyway    soon youll be with your role
21265,might be
21266,maybe they are still updating
21267,i have wl from degods
21268,have you already bought the guru
21269,the economic news is not the best
21270,do you like to live there 
21271,oohh
21272,aaj i think i need to open ticket then
21273,talisman master  
21274,venezuela mate
21275,check my name
21276,talisman master
21277,hi   what place of south america
21278,what s the role for wl 
21279,heyy welcome
21280,who all are excited bois
21281,gm     
21282,whats up mate
21283,hey
21285,hi
21286,still have the mint pass 
21287,welcomee
21288,i will not miss that mint if i get wl i promise
21290,hello from halo labs
21291,we need more hype in here
21292, and   
21293,hello what is the mint price and how will i get whitelist
21294,how are you
21295,happy sunday fam   
21296,hello from halo labs
21297,hello from halo labs
21299,welcome
21300,welcomee
21301,welcomee
21302,form filled too 
21304,form filled
21305,hi from halo labs
21306,hello from halo labs
21307,hi from halo labs
21308,do i need to link my metamask to get verified 
21309,yooo
21310,yo
21312,yoyo
21313,yooo
21316,yoo
21317,yo yo
21318,hi from yeah tiger
21319,whats up
21320,hei
21321,yoyo
21322,yo
21323,yo
21324,hi
21325,hey buddy
21326,hi
21328,welcome
21329,yo
21330,hi from woa
21331,gm
21332,gm
21333,yo
21334,buzzing to get wl
21335,im back
21336,cc
21339,heyy
21340,have a nice dayy
21341,gm selen
21342,yooo
21343,gm mate
21344,lfg
21345,welcome
21346,welcome everyone
21347,hii
21348,hi
21349,hi dig  
21350,hi
21351,heyy patron hahahaha
21352,hello there frens
21353,hey notorious
21354,what place of south america
21355,really 
21356,hii
21357,hi
21358,south america
21359,heyy
21360,are u american 
21361,yoo
21362,yo
21363,if its  pm
21364,and is it late there
21365,thank you
21366,welcomee
21367,gn    your pic  
21368,hi welcomee  
21369,gn
21370,gn fam  
21372,welcome fam
21373,btw
21374,hi from pengsol
21375,where can i read about the mint info in easiest way possible
21376,yep
21378,hii sir from pengsol  
21379,sunday tends to that  
21380,oh nice mate
21381,me too
21382,hii
21383,gm
21384,welcome all 
21385,gm all
21387,i just chilling and vibbing here and you
21388,   what are u doing 
21390,thank you join and ask questions if you want
21391,thanks for having us guys
21393,who i have to fight in duel to get wl
21395,we love bohemia
21396,finally got in
21406,okay well stop now  thankyou everyone and do checkout space x apes  cheers 
21440,oh nice mate
21445,im good too  
21448,good and you
21449,hello from space x apes well have fun for  mins with you all  
21450,hi welcome
21452,good morning how s everybody
21453,how are u 
21454,hello from space x apes well have fun for  mins with you all  
21455,hey mate
21456,hey granjero
21457,heyy
21458,what the utility token woop 
21459,good morning 
21460,enjoying the weekend holiday in the us how are you 
21461,all good sir hbu
21462,good morning
21463,whats up yall
21464,hey
21467,sup
21468,im good bro
21469,hello
21470,excellent wbu
21471,how are you
21472,hey bro
21473,hello dude
21474,how are you
21475,gm fam
21476,hi
21477,someone will be with you patience please
21478,hello
21479,hello
21481,hii
21482,hello
21483,hey
21484,h
21485,hi
21486, see tickets
21487,hello
21488,hy guys
21489,hi
21490,gm
21491,gm
21492,yo
21493,am also fine  
21494,im doing great how are you 
21495,how are you bro
21496,hello delta
21497,yes i like it  
21498,hello
21500,gm
21501,ah thats not bad at all haha yea i only work  days too which is nice
21502,gm
21503,im working  days on  days off and im going in holiday tuesday i will relax for a bit haha congrats on wl
21504,bi
21505,hopefully u find time to relax and hope u still get two days off
21506,hello  
21507,some of them yes unfortunately
21508,hello
21509,anytime  
21510,ahh u work on the weekends
21511,ahh nice im amped for this project if i have any questions i know who to turn too haha
21512,yoo
21513,hii
21514,hey
21515,yo
21516,hi
21517,not quite im a community aide i just help around  
21518,no plans finish work late today
21519,chillin today lazy sunday lol got any good plans homie
21520,all good on my side how you doing
21522,whats good lethal
21523,enjoy your time with us
21524,im doing good tho just doing some cleaning here
21525,welcome everyone
21526,ooouu is ur role a mod role homie
21527,hey
21528,all good and you
21529,how we all doing fam
21530,hello
21531,hello fam
21532,fam
21534,form is enough  
21535,doing good how are you 
21536,yo
21537,if u sent it correctly in the form u are good fam  
21538,yohu
21539,hi
21540,hi
21542,do we need to submit the wallet or the form was enough
21543,thanks
21544,yeah nice congrats
21545,hey congratz
21546,hello
21547,yooo
21548,oh not yet
21549,yep congrats
21550,tailsmen master is the wl role
21551,h
21552,is doodles collab winner dtc
21554,checking again
21555,yoo
21556,hello
21557,yes man how are you
21558,hey
21559,for the talisman
21560,yo
21562,i just got back from the city center what time is it there
21565,busy at work and you 
21566,yoo
21567,what raffle
21568,yo
21569,whats good man you in the raffle too
21570,how are you
21571,hey hey
21572,hello
21573,hey sir
21574,welcome everyone
21575,hello
21576,yoo
21577,hello guys
21578,yooo
21579,zup
21581,hello
21582,hello fam how are you
21583,hi
21584,dont forget to check     if youre new
21585,welcome everyone
21586,gm
21587,hi guys
21588,hello
21589,sup chat
21590,gm
21591,sup
21592,gmgm
21593,hello im from pakita
21594,gm frens
21595,hi guys
21596,yoo
21599,woopwoop
21600,gm
21604,gm fam
21606,hi
21608,gm frens
21609,sweet
21610, yea thats the wl role
21611,where can i find more info on the fabulous project
21612,talisman master is that wl 
21613,hi guys i fill the form for your wl on pengsol can i get the role
21614,gm
21615,hello
21616, bro
21617,no raffle aaaaa
21618,yurr
21619,yo
21621,bohemians
21622,hello
21623,yoo
21624,hi fam
21625,yo whats up man
21626,yoo
21627,hi
21629,hi gm fam have a great day
21630,gm
21632,gm fam
21633,all good u fam
21634,lmao
21635,hi
21636,was trying to see if i got a role lol  
21637,hi
21638,how are u guys
21639,sup
21640,hey  
21641,sup
21642,yooo
21643,hi
21644,if u filled the form from ur dao u good
21645,tnx
21646,alright cool
21647,gm
21648,theres no need for that
21649,gm
21650,hey
21651,where can i submit my wallet
21652,hey
21653,thats only for those that win the wl from other daogiveaways if u hold a guru master and its staked you good  
21654,we dont receive that role fam
21655,hello
21657,hi
21658,are you holding a guru 
21659,hey
21660,oh thats a lil sus ahah
21661,hi fam you   
21662,hope everyone is having a good sunday
21663,hi
21664,they dont have discord so i dont really see much info about it haha
21665,nah im not minting much lately
21666,anyone minting later
21667,any thoughts on verse estate
21669,hi
21670,hi
21671,hi
21672,how we all doing today
21673,gm
21674,gm
21675,buzzing won wl
21676,hi fam
21677,hi
21678,hi
21679,i will only win if i can win via twitter when will you do your draws ive been following for a long time but you havent put in a giveaway for a while
21680,any reason i m not talisman master 
21681,check
21682,hi
21683,hi
21685,dont forget to check  and    please
21687,hey welcome everyone
21688,heyy
21689,hey
21690,hey hey
21691,gg
21692,gm   
21693,thank u ser i always been helpful here
21694,pls check my ticket 
21695,gm
21696,good evening guys
21697,hey hey  
21698,hi
21700,we are good how are you  
21701,hi
21702, pick the one for collabs 
21703,who can i contact for collab
21704,gm
21705,hey
21706,henlo
21707,chill time on discord how are you 
21708,wats up guys
21709,gm
21711,yupyup
21712,hey guys
21713,hola
21714,hi all
21715,means that you will get airdropped talisman for minting fabulosa 
21716,it will be announced before mint fam    
21717,can i ask what talisman master roles means 
21718,how much is the mint please 
21719,sick
21721,hello
21722,dropped a new one yall
21723,gm
21725,thanks
21726,seeing a lot of talisman masters  
21728,yoyo
21729,great to have you here 
21730,check out   
21732,pleasure to see you are excited fam  we all are 
21733,im so pumped for this the roadmap is crazy the community is insane and the art i mean
21736,suuup bud
21737,hio
21738,sup
21739,gm
21740,gm
21741,hi
21742,hey hey  welcome everyone check out  and    
21743,gm hello guys
21744,gm
21745,hello
21746,exactly  
21747,okay thz u guys alrdy have my address and info from mintown form right
21748,hi
21749,nice to see you here
21750,hey ragnar
21751,noup you dont have to do it again
21752,welcome everyone  
21753,hi  do i need to submit the wl address again for talisman airdrop 
21754,helo
21755,suo
21756,just filled out the wl form glad to be here
21757,hey hey
21758,yo
21759,hello
21760,hello  
21761,hi
21762,hey fam all info you can find here   
21763,gm
21764,gm
21765,hello
21766,or only for the already guru masters
21767,the airdrop will be also for the bohemian in guru retreat
21770,yeah better i try those
21772,maybe giveaways raffles and ect coming up
21773,for talisman tho
21775,okay i got my answer
21777,buy on me
21779,how guru
21780,fck less than  days 
21781,july  yes
21782,i staked today
21783,on retreat
21784,wl token distribution is in  days right
21785,for guru master
21786, days 
21787,okay thank you
21788,lfg welcome to the guru master gang
21789,than waiting for  days
21790,thank u  boho friend
21791,any faster route
21793,for now try to make your boho a guru master
21794,you alr submitted on the dyno form
21795,or the woop
21796,yeah ngmi
21797,i dont think you will have the transporti
21799,same lmaoooo
21800,all  transportari and  woop
21801,sorry guys i am more of the buy first dyor later guy haha
21802,welcome to the fam ser
21803,do we need to submit wallet
21804,oh nice
21805,hello fam
21806,oh wait what do i need to do for big bang i just bought my bohemia yesterday
21807,i have like a  woop in my wallet
21808,gm
21809,is that delayed
21810,btw im waiting for the big bang
21811, for bottle  to reveal and stuff totalling up to around  worth of woop
21812,about that sure
21813,oh hey its ragnar
21814,looking out for the fam
21815,true gentleman
21816,so if i calculate well it would take around  worth woop for the total procedure to become guru master provided the current market price right
21817,i need to get those letter stuff as well and get myself ready for guru master
21818,woop woop
21819,pretty good
21823,goat
21824,woop woop
21825,aaaaaa mr rangar in the house  
21826,haha bro send it in dm
21827,thank u my man love u   
21828,c
21829,sheesh a legend indeed
21830,cool i got you man send me your wallet
21831,yess
21832,i already have the letter
21833,and do you already have the guru master letter
21835, woop
21836,you will need a total of  woop now and a guru master letter  
21837,how much do you need
21838,someone can help me
21839,hi guys im trying to become guru master i have  swoop
21840,whats up fam
21841,hii
21842,yeah gotta show love to the projects they deserve that but tbh i love bohos more since they dont stop delivering dont get me wrong solgods are goated but they move a lot slower bohos building everyday
21843,great just chilling man how about you
21844,how are you 
21845,hi gm fam
21846,yeah hopefully ill tag him again in our chat i think hes out right now
21847,cool
21848,belgium if im not mistaken
21849,gm
21850,where is max from btw
21851,hopefully we set up something good  
21852,proven several times lmao
21853,hex is the goat
21854,love for hex as well
21856,oh wow gg two of my favs
21857,hey there mate
21858,lfg
21859,i love bohemia man i can see you also have a solgods i have an interview with hex the solgods founder coming on thursday  
21860,sheesh hi glad to see you here
21861,will do   we talked about it a little bit in our chat   will tell him  
21862,pretty much one of the only projects i keep believing in
21863,its great to see you here
21864,eyyy thanks brother appreciate that a lot   
21865,yooo im a fan of the vids love you shit so keep up the good work
21866,ok thanks a lot
21867,hes not following me on twitter so i cant dm him  
21868,yoyo how can i get  s attention and get him to come on my channel for a founder interview
21869,hi guys
21870,fabulosa   
21871,here fam 
21872,hi
21873,how wl
21874,lfg
21875,gm gm
21876,gm
21877,gm
21878,welcome everyone woopwoop
21880,woopwoop
21881,welcome everyone
21882,sup my
21883,welcome to bohemia guys have a great sunday more info on fabulosa here    and 
21884,hello
21886,welcome everyone
21887,check again   
21888,hi
21889,gm everyone
21890,hi
21892,gm
21893,hi from yeah tigers
21894,gm fam
21895,good morning guys
21896,woopwoop
21897,welcome everyone
21898,d
21899,gm
21900,happy sunday
21901,yo
21902,hi
21903,good morning
21904,there s a channel to do that
21905,have a great weekend
21906,welcome everyone
21907,sup
21908,happy weekend fam   
21909,gm
21910,its in your server
21911,dyno form link plz
21912,gm fam
21913,welcome everyone
21914,happy sunday good night mate
21916,how do i raise a ticket  keeps directing me here
21918,welcome
21919,hi  from yeah tigers  
21920,can you open a ticket then please  maybe someone from the team can help you
21922,gmo
21923,it s an issue with the website on my behalf
21924,yeah been part of bohemian for ages and got  guru masters
21925,youre pressing the claim button at the top right
21926,tried from pc too
21927,sup
21928,tried installing and staking again still comes up saying stake when i try claim
21929,can you try from pc maybe 
21931,mine still not working
21932,morning team
21934,hello peng fam welcome to bohemia  
21935,i just checked  for me works just fine
21936,hi
21937,hey from pengsol
21938,it s a problem with my staking platform  they are staked but it thinks they aren t
21939,hey welcome
21940,hey from yeah tigers
21941,can you maybe try with a different browser
21942,thanks
21943,cool
21944,wl yes
21945,yeah got sol in there
21946,talisman master ii means what is that wl
21947,make sure you have some sol for transaction fee refresh the browser and try again
21948,who do i ask to help
21949,gm
21950,just claimed mine few hours ago it worked perfectly
21951,gm
21952,buy
21953,can t claim woop or but woop anyone know the issue
21954,welcome everyone
21955,hello from yeah tigers  
21956,its a raffle theres no need for proof channel
21957,there is no channel for tigers we wrote a message above but i wondered if it was noted
21958,there is no channel for tigers we wrote a message above but i wondered if it was noted
21959,gm
21960,hi
21961,hi
21962,from pengsol
21964,hey from yeah tigers
21965,yo
21966,welcome pengsol   
21967,hi again
21968,hello everyone
21969,hey
21970,yo from pengsol
21971,gm guys
21972,hi from yeah tigers
21973,hello from pengsol
21974,hi from yeah tigers fam
21975,gm gm
21976,gm gm
21978,sunday vibes
21979,hey striker  
21981,gm
21982,gm
21983,gn bro
21984,yes for me too did nothing this weekend but still feels better
21985,gn guys
21986,i am just chilling with family and stuff just some peaceful sunday
21987,i am good   how is it with you
21988,yo
21989,hi kirje nice to meet you
21990,gm
21991,check out  and  for more info    
21992,welcome everyone 
21993,hi
21994,mooon
21995,gm fam
21996,yo
21997,elo
21999,gm fam have a great day ahead
22000,hey everyone
22001,hi eshwar how are you
22002,hey fam
22003,gm
22005,gm fam
22006,hello
22007,gm
22008,hi
22011,woopwoop
22012,sure bro thx soo much for that
22015,check out  and   
22016,hello everyone  welcome to bohemia
22017,yo
22018,hi
22019,hi
22020,np  
22021,thanks
22022,check 
22023,i don t think so
22024,too late to get wl
22025,good morning
22026,gm
22027,gm
22028,welcome everyone
22029,hii
22030,yo
22031,hey guys
22032,hello tiger
22033,for talisman airdrop it s through dyno
22034,hi from yeah tigers
22035,hey whats good
22036,what s up buddy
22037,gm
22038,hey guys
22040,gm
22041,                   
22042,welcome all
22043,what raffle on their web page of sorting hat
22044,hi from yeah tigers
22045,hey all
22046,hi from yeah tigers
22047,hey guys with the raffle for fabulosa is it ok to enter more then one seen the info in a few of my servers
22049,i love the one from gringograss where you can read it upsidedown
22050,yeah thats also another talent not easy at all
22051,cool banner made by 
22052,sometimes the ai can really be cool know some  artist that are doing amazing stuff
22053,ai art
22054,oh its another project actually haha
22055,this
22057,whats that
22058,gm
22060,gm  
22061,gm fam
22062,you did your banner
22064,great for you man welcome to the boho fam   
22065,yo
22066,sheesh nice man
22067,absolutely i got bohemia yesterday haha
22068,im good on the seaside for few days
22069,striker did you strike some good nfts 
22070,cant wait to get talisman  
22071,how are you
22072,hello fam
22073,hello
22075,hi
22077,hello  
22078,hello
22079,gm
22080,o sorry i think he have
22081,nice  thank you  
22082,naah
22083,you will have more chances to win  
22084,but he is already wl
22085,because the team needs to be very careful with allocation and dont give more wl then we have they need to count haw many was given so far probably thats why you been told to come back there are  of projects we cant give wl to everyone unfortunately
22086,more chances
22087,yo
22088,yo guys
22090,pengsol  yeah tigers apes they all have diff forms from your project what happens if i fill up all of them
22091,mans dunno how to say no he just waste someones time and patience
22092,yup was talking about  i asked for a collab  weeks ago and he kept saying come back a few   so i did came back few days later and was told to come back again happened  for the last time he said its closed but today i see some other daos im in still got it hahah
22094,he means for sure whats if you make more forms but with same discord  twitter ect 
22095,just kidding just my bad
22097,hello from pengsol
22098,what do you mean   if you dont come from there and didnt filled up the form it wont matter  
22100,hey what if i also say hello from pengsol
22101,looks like you got the wl already
22102,sup
22103,great and you
22104,but everyone welcome
22105,how is your day so far
22106,hey mate
22107,wazzup
22108,couldve just said no tho its that easy
22109,they always say come back for a few daysnext week   time i came back they said its closed today i saw other daos still got it
22110,well the mods are active here mate
22111,oh okay okay
22112,yeah ik i was talking about collab for a project im modding
22113,you also have it mate
22114,i was told to comeback  in collab and cameback last week for the  time and they said collab is closed and now i see some other daos got it 
22115,hi from pengsol   
22116,hello fam welcome
22117,hello from pengsol  
22118,hi from pengsol
22119,yeah but it is what it is need to work   im all good when monday ends
22120,yes bro  monday is the worst day of week
22121,no worries fam  
22122,just chillin   getting some rest coz its work day again tomorrow  
22123,right thanks
22124,what s going on 
22125,good after noon fam  
22126,good afternoon sir
22127,  no worries fam happy to help  
22128,xd thanks
22129,yeah lol i forget the form
22130,good afternoon guys
22131,we already got wl addy of wl winners throughthe forms in your server you filled up before  
22132,it didnt started yet 
22133,thanks bro i have a question about wallet submissions
22134,nice sounds like fun have a good one
22136,m
22137,me too  going to the beach within the next few hours
22139,doing good fam just chillin over the sunday and u
22141,how are u doing fam 
22142,hello  
22143,hey
22144,oh it s gonna be clean      
22145,no worries fam   feel free to ask
22146,sweet appreciate the info  
22147,hopefully that art is clean
22148,roles were handed for dao collabs   as long as youre guru master is staked youll be airdrop the talisman token
22149,okay ty just wanted to make sure because i ve seen some roles handed out   don t wanna miss out
22150,its gonna be magical  
22151,as long as it is stkaked udring the snapshot
22152,im good im good rly interested in fabulosa
22153,guru master holders will automatically get airdropped  
22154,hey
22155,all those who filled up the form will be raffled and wl winners will be given the role over the weekend or earlier
22156,have all talisman master roles been handed out cause i have a guru master
22157,fine  and you
22158,fabulosa    here
22159,i filled the form how long it takes to get my wl
22160,test
22161,we
22162,welcome everyone
22163,hey
22164,how are e
22165,yo
22166,hey from pengsol
22167,yo
22168,welcome
22169,wats up
22171,hey from pengsol
22172,ok
22173,gm
22174,gm
22175,thank you  
22176,if you got it kindly close the ticket  
22177,lfg
22178,ok bro i got it thanks
22180,fam read me  
22181,i opened a ticket
22183,here
22184,hi
22185,its in your dao server fam
22186,bro u need feel the form
22187,hi
22188, hi where is the collab form i am from pengsol
22189,hi
22190,sup fam
22192,hi everyone
22193,hi
22194,hi from pengsol
22195,hi from yeahtigers
22196,hi welcome
22197,hi from yeah tiger
22198,yupp
22199,please check 
22200,hi
22201,will surely see  
22202,np mate if u need anything feel free to ask  
22203,okay thank u so much
22204,hey fam wl is mostly for those that hold a master guru bohemian you can also win it through our twitter contests and giveaway or from selected dao that we gave spots to
22205,hi from yeahtigers
22206,how to get it
22207,fabolusa wl
22208,how to get wl
22209,wassup everyone
22210,gm
22211,hi from yeah tigers
22214,hi from yeah tigers
22215,welcome yeah tigers
22216,hi fromyeah tigers  
22217,hi from yeah tigers
22218,gm fam
22219,gm
22221,thanks sir
22222,welcome everyone
22223,hi   
22225,woopwoop
22226,tigers have landed welcome guys
22228,sup
22229,ty   
22230,welcome guys
22231,h  from yeah tigers
22232,gm
22233,                   
22235,hahahah cute and creepy gif hahaha
22236,just sunday chillin
22237,hahahah awesome one     woop woop
22238,gm
22239,gm
22240,welcome
22241,hi from yeah tigers
22242,not bad wbu
22243,hey guys how you doin
22245,yes  
22246,yeah
22247,let s go
22248,gm
22249,hey guys a quick confirmation question talisman master role is guaranteed mint right
22250,hi from yeah tigers
22251,hello
22252,welcome
22253,hey from yeah tigers
22254,welcome
22255,gm everyone
22256,hi from yeah tigers
22257,morning
22259,gm
22260,oh
22262,hey
22263,yo
22264,morning
22267,thats very good  we are doing good
22268,im doing good just chilin around  
22269,gm fam
22270,am good and you
22271,gm guys
22272,fabulosa info here   
22273,whats up fam
22274,hello
22275,cool and calmhw are you doing
22276,good mate and u
22277,whats up
22278,hello
22279,thx
22280,hi from yeah tigers
22281,welcome to bohemia
22282,hi from yeah tigers
22283,gm everyone
22284,hi from yeah tigers
22285,im doing alright
22286,we are doing well and you
22287,thank you mate
22288,whats up
22289,hello mate
22290,hello boss
22291,and you
22292,hope you have a good day
22293,gm people
22295,welcome everyone
22296,in your daos server
22298,hello
22299,hii
22300,thats great
22301,yeah i got it
22302,it should be in the server where you joined from
22303,sup bros
22304,gm
22305,welcome yeah tigers glad to have you all here please take look at upcoming fabulosa here   and 
22306,hi from year tigers  
22307,form will be sent out to selected daos and collabs pal  
22308,where is the form link
22309,hi from yeah tigers
22310,gm
22311,hi from yeah tigers
22312,hello from yeah tigers
22315,woopwoop
22317,talisman test  
22318,have a nice weekend
22319,hi guys
22320,gm
22321,hi
22322,hi from yeah tigers
22323,gm
22325,crazy days ahead
22326,as well as talisman airdrop and fabulosa mint
22327,great thanks sir
22328,we have bigbang coming 
22329,newcomers get a guru master and lets join the fabulosa party
22330,how is everyone doing
22331,gm
22332,all good thanks hbu
22333,gm
22334,awesome thanks fam
22335,wassup sir how are you today
22336,welcome yeah tigers
22337,thanks you
22338,whats up tigers
22339,gm
22340,hi from yeah tigers
22341,hey everyone over from yeah tigers
22342,hi from yeah tigers
22343,hi from yeah tigers
22344,hi from yeah tigers
22345,gm
22346,h
22347,yo
22348,welcome to bohemia pal  
22349,yoyoyo
22350,                   
22351,gm
22352,thanks
22353,welcome to bohemia
22354,hello from yeah tigers
22355,gm
22358,hey from yeah tigers
22359,hi from yeah tigers  
22360,                   
22361,hey bro
22362,hey from yeah tigers
22364,hi
22365,hey tigerssss
22366,im not saying that anythings guaranteed but stuff that like could help
22367,hi from yeah tigers
22368,hi from yeah tigers
22369,hi from yeah tigers
22370,hi from teah tigers
22371,hi from yeah tigers
22372,hi from yeah tiger
22373,hi
22374,gm
22376,really love the scope of this project hope you guys have checked out  if you are new pretty helpful indeed
22377,gm
22378,hey
22379,one good twitter thread would be enough
22381,yo
22383,gm
22384,welcome to bohemia
22385,hi from chainmyth
22386,check the new banner and post i mentioned you
22387,yo
22388,make some creative tweets and such stay active and helpful and good things might happen   
22389,hi
22391,or i could just volunteer as a mod in here
22392,okay well i was never a creator or artist but i really  want wl is that enough haha
22393,welcome to bohemia
22394,blessings on this sunday to all
22396,churchdao
22398,whats up
22399,yo
22400,gm
22401,gm
22403,gm bohemians
22404,just in case you haven t or interested
22405,gm
22406,you read the info      
22407,cant  wait
22408,congrats  
22409,wassup
22410,providing some good contents for bohemia and showing that you really want the token will help you alot see 
22411,hello
22412,bohemiaaaaaaaaaa babayyyy lesss goo
22413,mint fabulosa sure
22414,oh lets goooo
22415,hmm okay
22416,sir
22417,talisman master
22419,purjo can i mint this
22420,sorry friend but there will be more ways to get that talisman stay put 
22421,yooo
22422,is that a role
22423,you already have the role i guess
22424,i really wanna mint this
22425,any idea how to get the wl
22426,any other way to do so
22427,oh fk too late i suppose
22428, days and forthe snapshot i think  days remaining
22429,can i make it in time
22430,hi so  how many days will it take for my bohemia to evolve into guru master bohemia also how many days do we have remaining for the wl ticket distribution
22431,gm
22432,gm
22436,good morning
22437,gm
22438,hey fam
22439,oops i forgot to stake mine lmao
22440,gg guys whats cookin
22442,check out  and   for fabulosa
22443,damn
22444,welcome all to bohemia
22445,thx you too 
22446,enjoy the sunday today    
22447,gm brohos
22449,gm everyone  
22450,hi
22451,gm everyone
22452,hi
22455,gm
22456,good day all
22457,gm
22458,yo
22459,check   and   for fabulosa
22460,welcome to bohemia
22461,hi
22462,yo
22463,gm
22467,wagmi
22468,good day all welcome to bohemia
22469,gm everyone
22471,bro accept friend req
22472,ok ok
22473,trippin ape tribe
22474,good morning i was missing you
22475,asking what is meant by tat
22476,good morning bohemians   happy sunday to you all  
22477,any degen plays today
22478,wym
22479,good morning
22480,gm
22481,yeahh
22482,hello
22483,hi
22484,tat and who 
22485,they just added tat for dao collab maybe bohemia too soon
22486,gm
22487,not buying anything until fabulosa and liberty square mint
22488,i also love this
22489,love this fabulosa
22491,nada
22493,av 
22494,what you doing today
22495,heyyo
22496,hello bro
22497,i try to hit the raids that don t have any bohos in it too
22498,     
22499,but
22500,i miss some raids
22501,hoping they notice my tweets raid suggestions and activity in  and 
22502,lets wait for the role x peeps hahaha i am waiting for you to be red lets see
22503,i m now a raid master
22504,whats up fam  
22505,also wen role x
22506,hi
22508,toooo farrr
22509,yo bro
22510,yo
22511,yes only  days left
22512,lots of cool looking ones yeah cant wait to see them all
22513,yes all are dope
22514,lots of crazy looking traits
22515, hello bro
22516,i think thats a mythic one
22517,all are nice but i like this most
22518,thx  
22519,niceee
22521,av 
22524,yes sure sir
22525,btw your name  what your wife brought
22526,if i find some time for mobile games ill hit u up  
22528,hahah  
22529,yes sir
22530,if you need any coc account tell i can gift you
22531,so im gonna need u to call me sir from now
22532,nice
22533,haha  
22534,you are  years older than me
22535,im 
22536,but still on and off for yearssss
22537,what is your age
22538,taken plenty of breaks
22540,yea ive been playing everquest since   
22541,i am playing from  it s damm difficult
22542,oh wow hardcore lol
22543,i still play i have  all maxed out and level  clan
22544,i have played clash before but not currently
22545,welcome everyone
22546,do you play coc 
22547,play a ton of stuffbut tonight it was everquest
22548,hello
22549,yo
22550,what game you play
22551,awesome just got done gamingdoing a little web  research now
22552,how is your weekend going
22553,definitely
22554,cant go wrong in bohemia  
22555,good sir  enjoying here
22556,how u doin pumpkin boo bear
22557,gm
22558,just talking with new comers  
22559,oh thats nice
